TRACE-A	FREQ-A	TRACE-B	FREQ-B	TRACE-C	FREQ-C
-81.145	8250.909091	-82.799	8250.909091	-79.013	8250.909091
-81.304	8254.545455	-81.989	8254.545455	-79.249	8254.545455
-81.576	8258.181819	-81.922	8258.181819	-79.367	8258.181819
-80.98	8261.818182	-82.603	8261.818182	-79.228	8261.818182
-81.669	8265.454546	-82	8265.454546	-79.394	8265.454546
-81.38	8269.09091	-81.65	8269.09091	-79.38	8269.09091
-81.297	8272.727273	-81.733	8272.727273	-79.388	8272.727273
-81.785	8276.363637	-82.453	8276.363637	-79.499	8276.363637
-81.558	8280.000001	-82.214	8280.000001	-78.968	8280.000001
-81.323	8283.636364	-83.081	8283.636364	-79.458	8283.636364
-81.016	8287.272728	-82.433	8287.272728	-79.638	8287.272728
-80.646	8290.909091	-81.85	8290.909091	-79.308	8290.909091
-80.888	8294.545455	-82.012	8294.545455	-79.259	8294.545455
-81.116	8298.181819	-82.572	8298.181819	-79.381	8298.181819
-81.476	8301.818182	-81.682	8301.818182	-79.374	8301.818182
-80.809	8305.454546	-82.06	8305.454546	-78.941	8305.454546
-81.416	8309.09091	-82.214	8309.09091	-78.967	8309.09091
-80.793	8312.727273	-81.231	8312.727273	-78.424	8312.727273
-81.134	8316.363637	-82.447	8316.363637	-79.439	8316.363637
-81.197	8320.000001	-81.915	8320.000001	-78.471	8320.000001
-81.222	8323.636364	-81.548	8323.636364	-79.216	8323.636364
-80.677	8327.272728	-81.903	8327.272728	-78.724	8327.272728
-80.999	8330.909091	-81.688	8330.909091	-78.662	8330.909091
-80.658	8334.545455	-82.173	8334.545455	-78.657	8334.545455
-80.649	8338.181819	-82.134	8338.181819	-78.611	8338.181819
-80.631	8341.818182	-82.105	8341.818182	-78.823	8341.818182
-81.602	8345.454546	-81.652	8345.454546	-78.875	8345.454546
-81.206	8349.09091	-82.787	8349.09091	-79.382	8349.09091
-80.361	8352.727273	-82.054	8352.727273	-79.242	8352.727273
-80.93	8356.363637	-82.205	8356.363637	-79.068	8356.363637
-81.587	8360.000001	-82.533	8360.000001	-79.201	8360.000001
-81.216	8363.636364	-81.887	8363.636364	-79.225	8363.636364
-81.147	8367.272728	-81.755	8367.272728	-79.064	8367.272728
-81.7	8370.909091	-82.747	8370.909091	-78.731	8370.909091
-81.086	8374.545455	-82.041	8374.545455	-78.93	8374.545455
-80.948	8378.181819	-82.39	8378.181819	-78.543	8378.181819
-81.445	8381.818182	-81.665	8381.818182	-79.653	8381.818182
-80.939	8385.454546	-81.853	8385.454546	-79.179	8385.454546
-81.163	8389.09091	-82.196	8389.09091	-79.203	8389.09091
-81.894	8392.727273	-82.143	8392.727273	-79.075	8392.727273
-80.885	8396.363637	-81.833	8396.363637	-78.859	8396.363637
-81.144	8400.000001	-81.982	8400.000001	-79.147	8400.000001
-81.364	8403.636364	-81.542	8403.636364	-78.828	8403.636364
-81.183	8407.272728	-81.656	8407.272728	-79.737	8407.272728
-80.875	8410.909091	-81.756	8410.909091	-79.013	8410.909091
-81.089	8414.545455	-81.892	8414.545455	-79.084	8414.545455
-81.235	8418.181819	-81.795	8418.181819	-79.349	8418.181819
-80.634	8421.818182	-82.343	8421.818182	-78.739	8421.818182
-80.534	8425.454546	-82.408	8425.454546	-79.375	8425.454546
-80.576	8429.09091	-82.087	8429.09091	-79.051	8429.09091
-81.698	8432.727273	-82.323	8432.727273	-79.154	8432.727273
